Country,Continent,Least Developed,Life Expectancy,CO2 emissions,Health expenditure,Electric power consumption,Forest area,GDP per capita,Individuals using the Internet,People using at least basic drinking water services,Obesity among adults,Beer consumption per capita,High GDP per capita
Benin,Africa,True,56.887,0.341935364,3.0760572,64.62288161,34.8984569,2016.210145,1.182540965,62.96612496,5.0,0.54301,False
Benin,Africa,True,57.355,0.363307326,2.93478322,70.32255342,34.45503725,2053.527482,1.271031439,63.15796463,5.2,0.52085,False
Benin,Africa,True,57.817,0.422300744,2.97331023,73.78896831,34.01161759,2137.533893,1.537854346,63.34453519,5.4,0.54146,False
Benin,Africa,True,58.255,0.473104595,2.8938241,75.08920951,33.56819794,2261.251548,1.79,63.52604541,5.6,0.56355,False
Benin,Africa,True,58.654,0.46223287,2.69675088,79.71812428,33.12477829,2350.165251,1.85,63.70227689,5.9,0.64038,False
Benin,Africa,True,59.009,0.494146663,2.82528329,86.35245946,32.68135864,2353.04098,2.24,63.87282084,6.1,0.64,False
Benin,Africa,True,59.318,0.525042566,2.99710441,87.87313802,32.23793899,2364.378796,3.13,64.03810265,6.4,0.7,False
Benin,Africa,True,59.59,0.491500279,3.09628272,95.44252175,31.79451933,2416.327362,4.148323066,64.19812277,6.7,0.82,False
Benin,Africa,True,59.842,0.456355652,3.41449857,91.53531895,31.35109968,2498.495773,4.5,64.35288158,7.0,0.94,False
Benin,Africa,True,60.092,0.467785082,2.85861206,93.12121978,30.90768003,2669.68822,4.9,64.50201104,7.3,0.92,False
Benin,Africa,True,60.345,0.50452817,2.66743827,96.7555505,30.46426038,2833.412753,6.0,64.64679742,7.6,1.04,False
Benin,Africa,True,60.608,0.520992816,2.90741682,100.2251518,30.02084072,2886.829137,11.25498791,64.7868223,7.9,1.03,False
Bolivia,South America,False,62.452,0.975259762,4.39554119,418.1872835,50.8643866,3433.710745,1.442763585,79.98631039,11.8,1.6748,False
Bolivia,South America,False,63.054,0.938201757,4.82522202,415.8811727,50.6783458,3502.793542,2.120462534,80.77731881,12.2,1.54485,False
Bolivia,South America,False,63.64,0.949350243,4.89645052,416.6548177,50.49230499,3578.010881,3.117192947,81.54188419,12.6,1.57753,False
Bolivia,South America,False,64.21,1.019557988,5.19709635,429.9527086,50.30626419,3678.963876,3.508596401,82.2924509,13.0,1.69126,False
Bolivia,South America,False,64.766,1.046416775,4.86315727,437.242163,50.12022339,3864.549149,4.439924601,83.03298988,13.4,1.99114,False
Bolivia,South America,False,65.312,1.088569382,5.07408142,447.1254081,49.93418259,4088.364241,5.227583957,83.76284924,13.8,2.13138,False
Bolivia,South America,False,65.853,1.195259486,4.6608758,476.5875809,49.74814179,4339.990861,6.200671255,84.48315277,14.2,2.34478,False
Bolivia,South America,False,66.395,1.26380481,4.6968894,506.9475658,49.56210099,4581.253662,10.49924432,85.1929341,14.6,2.54528,False
